,Date,Type,Team,Conf.,Opp.,Venue,Win,Points_For,Points_Against,Point_Differential,Season,Opp_Conf
7919,2014-12-23,N,Villanova,BE,NJIT,Home,True,92,67,25,2014-15,Ind
32887,2022-11-16,N,Northern Kentucky,Horz,Cincinnati,Home,True,64,51,13,2022-23,Amer
32469,2022-11-11,N,Arkansas,SEC,Fordham,Home,True,74,48,26,2022-23,A10
32884,2022-11-16,N,Northeastern,CAA,Harvard,Home,False,70,69,1,2022-23,Ivy
7115,2014-12-13,N,UMKC,WAC,Nebraska Omaha,Home,True,79,72,7,2014-15,Sum
8216,2014-12-30,N,Sacred Heart,NEC,Yale,Home,False,70,64,6,2014-15,Ivy
33133,2022-11-18,N,UNLV,MWC,High Point,Home,True,78,68,10,2022-23,BSth
32883,2022-11-16,N,UMass Lowell,AE,Sacred Heart,Home,True,90,81,9,2022-23,NEC
33939,2022-11-26,N,Penn,Ivy,Colgate,Home,True,81,69,12,2022-23,Pat
7922,2014-12-23,N,Dayton,A10,Georgia Tech,Home,True,75,61,14,2014-15,ACC
6761,2014-12-06,N,Kennesaw St.,ASun,Kent St.,Home,False,58,46,12,2014-15,MAC
6762,2014-12-06,N,Valparaiso,Horz,New Mexico,Home,False,63,46,17,2014-15,MWC
6763,2014-12-06,N,Marquette,BE,Wisconsin,Home,False,49,38,11,2014-15,B10
33938,2022-11-26,N,Rutgers,B10,Central Connecticut,Home,True,83,49,34,2022-23,NEC
6765,2014-12-06,N,Hartford,AE,Central Connecticut,Home,False,56,47,9,2014-15,NEC
33937,2022-11-26,N,Milwaukee,Horz,UC Davis,Home,True,87,85,2,2022-23,BW
32882,2022-11-16,N,Saint Mary's,WCC,Southern,Home,True,72,54,18,2022-23,SWAC
32468,2022-11-11,N,Illinois,B10,UMKC,Home,True,86,48,38,2022-23,Sum
32461,2022-11-11,N,Coppin St.,MEAC,Mount St. Mary's,Home,True,83,78,5,2022-23,MAAC
32456,2022-11-11,N,Kentucky,SEC,Duquesne,Home,True,77,52,25,2022-23,A10
7918,2014-12-23,N,Iona,MAAC,Florida Gulf Coast,Home,True,86,67,19,2014-15,ASun
33953,2022-11-26,N,Colorado St.,MWC,Mississippi Valley S,Home,True,88,45,43,2022-23,SWAC
32444,2022-11-11,N,Texas A&M,SEC,Abilene Christian,Home,True,77,58,19,2022-23,WAC
8211,2014-12-30,N,Hawaii,BW,Prairie View A&M,Home,True,76,68,8,2014-15,SWAC
32448,2022-11-11,N,Oakland,Horz,Bowling Green,Home,False,87,82,5,2022-23,MAC
32451,2022-11-11,N,Drexel,CAA,Old Dominion,Home,True,71,59,12,2022-23,SB
32453,2022-11-11,N,San Diego St.,MWC,BYU,Home,True,82,75,7,2022-23,WCC
